concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,value_mean,value_median,value_p25,value_p75,value_min,value_max,units,coverage_Amsterdam UMC,coverage_Amsterdams Medisch Centrum,coverage_Catharina Ziekenhuis Eindhoven,coverage_OLVG,coverage_UMC Utrecht,coverage_Vrije Universiteit Medisch Centrum
2000000575,albuterol / acetylcysteine,Drug,ICUdata,Observable Entity,2000000575,drug_exposure,250574,14279,14.719404585188851,,,,,,,,0.043370263770058745,66.04812000779272,,,,
1774470,cefotaxime,Drug,RxNorm,Ingredient,2186,drug_exposure,219861,19324,19.92000659739403,,,,,,,,30.92694081930371,36.552698227157606,8.683035714285714,,,16.448692152917506
1154029,fentanyl,Drug,RxNorm,Ingredient,4337,drug_exposure,218349,18229,18.79123371268349,,,,,,,,15.325474115838032,16.613091759205144,1.8080357142857142,7.095211988304094,8.374771002355404,36.478873239436616
19137312,thiamine,Drug,RxNorm,Ingredient,10454,drug_exposure,215827,16508,17.01715322447633,,,,,,,,13.752316366360446,33.65965322423534,3.1026785714285716,,6.176393614237111,23.194164989939637
1337860,dopamine,Drug,RxNorm,Ingredient,3628,drug_exposure,213136,17759,18.30673758865248,,,,,,,,3.5879036391594052,5.888369374634716,,38.66045321637427,,33.445674044265594
1307046,metoprolol,Drug,RxNorm,Ingredient,6918,drug_exposure,213051,22645,23.34343559294079,,,,,,,,18.13271300713638,21.15234755503604,30.200892857142858,4.3722587719298245,21.905260403035854,21.1317907444668
1367571,heparin,Drug,RxNorm,Ingredient,5224,drug_exposure,196727,9808,10.110506349991754,,,,,,,,15.755234002286796,0.39937658289499317,1.8080357142857142,,6.699816801884324,16.609657947686117
766529,haloperidol,Drug,RxNorm,Ingredient,5093,drug_exposure,185492,17378,17.91398647534224,,,,,,,,11.666600954145803,17.027079680498733,4.352678571428571,25.794956140350877,9.945040565297043,16.856136820925553
36029881,albuterol / ipratropium,Drug,RxNorm,Multiple Ingredients,214199,drug_exposure,184527,8986,9.263153554346033,,,,,,,,16.867089855301028,,0.044642857142857144,,8.21774404606124,13.038229376257545
724816,oxazepam,Drug,RxNorm,Ingredient,7781,drug_exposure,169108,22607,23.30426356589147,,,,,,,,17.35993376177897,25.41398792129359,13.348214285714286,20.58205409356725,6.438105208060717,20.43762575452716
19018544,calcium,Drug,RxNorm,Ingredient,1895,drug_exposure,162749,11089,11.431015998680522,,,,,,,,,52.177089421391,,,,
975125,hydrocortisone,Drug,RxNorm,Ingredient,5492,drug_exposure,159982,12073,12.445365330694376,,,,,,,,15.01005401569215,17.855055523085916,5.558035714285714,,8.296257524208322,17.61066398390342
36854851,METAMIZOLE,Drug,RxNorm Extension,Ingredient,OMOP5172468,drug_exposure,157662,13425,13.839064819396338,,,,,,,,25.537199858060955,12.935904928891487,23.504464285714285,,,
36029299,glucose / sodium chloride,Drug,RxNorm,Multiple Ingredients,108190,drug_exposure,157012,19766,20.375639122546595,,,,,,,,10.897764460040216,,0.06696428571428571,,0.10468463752944256,82.42454728370221
948078,pantoprazole,Drug,RxNorm,Ingredient,40790,drug_exposure,138444,19636,20.24162955632525,,,,,,,,12.83759807593739,2.737190726670563,42.276785714285715,,17.770217220622875,29.14989939637827
904453,esomeprazole,Drug,RxNorm,Ingredient,283742,drug_exposure,135694,15878,16.367722249711363,,,,,,,,21.819185427591375,32.17903759984414,4.933035714285714,,14.603506935357236,6.061368209255533
902251,hypromellose,Drug,RxNorm,Ingredient,27334,drug_exposure,127399,2646,2.727610094012865,,,,,,,,,,,,0.44490970950013087,12.982897384305835
35884360,Heparin Sodium,Drug,RxNorm Extension,Ingredient,OMOP5031264,drug_exposure,112934,3959,4.081106712848425,,,,,,,,,18.463861289694137,,,,
42898711,chlorine,Drug,RxNorm,Ingredient,1310122,drug_exposure,112863,4470,4.60786739238001,,,,,,,,,21.766023767777128,,,,
19124906,magnesium,Drug,RxNorm,Ingredient,6574,drug_exposure,112841,4484,4.6222991918192315,,,,,,,,0.007885502503647045,21.75141242937853,,,,
19043395,phosphorus,Drug,RxNorm,Ingredient,8263,drug_exposure,112778,4467,4.604774863928748,,,,,,,,,21.75141242937853,,,,
1398937,clonidine,Drug,RxNorm,Ingredient,2599,drug_exposure,110806,9104,9.38479300676233,,,,,,,,14.513267357962386,7.451782583284629,2.34375,,39.67547762365873,7.892354124748491
1340128,captopril,Drug,RxNorm,Ingredient,1998,drug_exposure,107923,13233,13.641142998515587,,,,,,,,16.358474943815796,27.683615819209038,,,7.223239989531536,11.725352112676056
1112921,ipratropium,Drug,RxNorm,Ingredient,7213,drug_exposure,107673,6485,6.68501566881082,,,,,,,,5.133462129874227,1.9238262224819793,0.06696428571428571,,11.09657157812091,6.212273641851106
1797513,ciprofloxacin,Drug,RxNorm,Ingredient,2551,drug_exposure,107211,11917,12.284553851228765,,,,,,,,10.771596419981863,10.291252678745373,2.5,19.951571637426902,3.9518450667364564,6.47887323943662
19054936,floxacillin,Drug,RxNorm,Ingredient,4448,drug_exposure,103986,3877,3.9965776018472705,,,,,,,,3.9821787643417577,4.461328657705046,0.78125,0.7218567251461988,1.9104946349123266,4.20523138832998
1707164,metronidazole,Drug,RxNorm,Ingredient,6922,drug_exposure,102374,7568,7.801418439716312,,,,,,,,8.634625241493515,10.413013832067017,4.977678571428571,,6.673645642501963,9.577464788732394
1319133,nimodipine,Drug,RxNorm,Ingredient,7426,drug_exposure,100922,2146,2.21218868546924,,,,,,,,2.7204983637582303,5.260081823495032,,,2.9835121695891127,1.056338028169014
1124957,oxycodone,Drug,RxNorm,Ingredient,7804,drug_exposure,97588,10080,10.390895596239485,,,,,,,,3.1187162401924065,1.5195791934541203,16.852678571428573,,4.1612143417953416,0.8199195171026157
19093848,magnesium sulfate,Drug,RxNorm,Ingredient,6585,drug_exposure,93748,30746,31.694293254164606,,,,,,,,24.953672672791075,35.24254821741672,5.892857142857143,,24.862601413242608,74.69818913480886
1309944,amiodarone,Drug,RxNorm,Ingredient,703,drug_exposure,88442,7937,8.181799439221507,,,,,,,,9.281236446792573,12.322228716150398,6.361607142857143,,7.825176655325831,10.588531187122737
943852,xylometazoline,Drug,RxNorm,Ingredient,39841,drug_exposure,86148,3369,3.472909450766947,,,,,,,,1.419390450656468,0.9010325345801675,,,0.4710808688824915,12.681086519114688
791967,lorazepam,Drug,RxNorm,Ingredient,6470,drug_exposure,83165,11391,11.74233052944087,,,,,,,,8.953988092891219,11.153321644262615,2.767857142857143,2.9102704678362574,2.9573410102067523,14.019114688128772
19011773,ascorbic acid,Drug,RxNorm,Ingredient,1151,drug_exposure,81511,12519,12.90512122711529,,,,,,,,3.1739147577179354,17.7576466004286,1.1607142857142858,,3.1405391258832767,37.510060362173036
1707687,vancomycin,Drug,RxNorm,Ingredient,11124,drug_exposure,78956,6489,6.689139040079168,,,,,,,,9.265465441785278,11.533216442626145,1.2053571428571428,,9.578644333943993,2.640845070422535
19016749,remifentanil,Drug,RxNorm,Ingredient,73032,drug_exposure,72101,4517,4.65631700478311,,,,,,,,6.686906123092694,0.15585427625170464,0.22321428571428573,0.08223684210526316,69.2750588851086,0.3118712273641851
